StoreSize,QueryType,MedianNanos,MedianMillis,AvgNanos,AvgMillis
500,SPO,202400.00,0.20,161002.70,0.16
500,SP_,7211550.00,7.21,12885293.50,12.89
500,_PO,310600.00,0.31,547669.95,0.55
500,S_O,6584550.00,6.58,6386468.00,6.39
500,S__,31749400.00,31.75,31026307.60,31.03
500,__O,6002000.00,6.00,5911586.05,5.91
500,_P_,87960750.00,87.96,219790550.55,219.79
500,___,44500.00,0.04,52539.15,0.05
